Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,CA-2014-115812,09-06-2014,14-06-2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Orem,Minnesota,90032,,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference�phone�- Charcoal black,911.424,4,0.2,68.3568
13,CA-2017-114412,15-04-2017,20-04-2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Houston,Michigan,28027,,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
14,CA-2016-161389,05-12-2016,12-10-2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Richardson,Delaware,98103,,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
15,US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Naperville,Indiana,76106,,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
16,US-2015-118983,22-11-2015,26-11-2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Melbourne,New York,76106,,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
17,CA-2014-105893,11-11-2014,18-11-2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Eagan,Arizona,53711,,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
18,CA-2014-167164,13-05-2014,15-05-2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,Westland,Virginia,84084,,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,CA-2014-143336,27-08-2014,09-01-2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,Dover,Tennessee,94109,,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
20,CA-2014-143336,27-08-2014,09-01-2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,New Albany,Alabama,94109,,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
21,CA-2014-143336,27-08-2014,09-01-2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,New York City,South Carolina,94109,,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
22,CA-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Troy,Oregon,68025,,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
23,CA-2016-137330,09-12-2016,13-12-2016,Standard Class,KB-16585,Ken Black,Corporate,United States,Chicago,Colorado,68025,,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
24,US-2017-156909,16-07-2017,18-07-2017,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Gilbert,Iowa,19140,,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25,CA-2015-106320,25-09-2015,30-09-2015,Standard Class,EB-13870,Emily Burns,Consumer,United States,Springfield,Ohio,84057,,FUR-TA-10000577,Furniture,Tables,Wilson Jones Active Use Binders,1044.63,3,0,240.2649
26,CA-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Jackson,Missouri,90049,,OFF-BI-10001634,Office Supplies,Binders,Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,11.648,2,0.2,4.2224
27,CA-2016-121755,16-01-2016,20-01-2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Memphis,Oklahoma,90049,,TEC-AC-10003027,Technology,Accessories,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",90.57,3,0,11.7741
28,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Decatur,New Mexico,19140,,FUR-BO-10004834,Furniture,Bookcases,Avery Recycled Flexi-View Covers for Binding Systems,3083.43,7,0.5,-1665.0522
29,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Durham,Louisiana,19140,,OFF-BI-10000474,Office Supplies,Binders,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",9.618,2,0.7,-7.0532
30,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Columbia,Connecticut,19140,,FUR-FU-10004848,Furniture,Furnishings,Poly String Tie Envelopes,124.2,3,0.2,15.525
31,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Rochester,New Jersey,19140,,OFF-EN-10001509,Office Supplies,Envelopes,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",3.264,2,0.2,1.1016
32,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Minneapolis,Massachusetts,19140,,OFF-AR-10004042,Office Supplies,Art,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",86.304,6,0.2,9.7092
33,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Portland,Georgia,19140,,OFF-BI-10001525,Office Supplies,Binders,Lumber Crayons,6.858,6,0.7,-5.715
34,US-2015-150630,17-09-2015,21-09-2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Saint Paul,Nevada,19140,,OFF-AR-10001683,Office Supplies,Art,Easy-staple paper,15.76,2,0.2,3.546
35,CA-2017-107727,19-10-2017,23-10-2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Aurora,Rhode Island,77095,,OFF-PA-10000249,Office Supplies,Paper,GE 30524EE4,29.472,3,0.2,9.9468
36,CA-2016-117590,08-12-2016,12-10-2016,First Class,GH-14485,Gene Hale,Corporate,United States,Charlotte,Mississippi,75080,,TEC-PH-10004977,Technology,Phones,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",1097.544,7,0.2,123.4737
37,CA-2016-117590,08-12-2016,12-10-2016,First Class,GH-14485,Gene Hale,Corporate,United States,Orland Park,Arkansas,75080,,FUR-FU-10003664,Furniture,Furnishings,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",190.92,5,0.6,-147.963
38,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Urbandale,Montana,77041,,OFF-EN-10002986,Office Supplies,Envelopes,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",113.328,9,0.2,35.415
39,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Columbus,New Hampshire,77041,,FUR-BO-10002545,Furniture,Bookcases,"Global Fabric Manager's Chair, Dark Gray",532.3992,3,0.32,-46.9764
40,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Bristol,Maryland,77041,,FUR-CH-10004218,Furniture,Chairs,Plantronics HL10 Handset Lifter,212.058,3,0.3,-15.147
41,CA-2015-117415,27-12-2015,31-12-2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Wilmington,District of Columbia,77041,,TEC-PH-10000486,Technology,Phones,Panasonic Kx-TS550,371.168,4,0.2,41.7564
42,CA-2017-120999,10-09-2017,15-09-2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Bloomington,Kansas,60540,,TEC-PH-10004093,Technology,Phones,"Eldon Base for stackable storage shelf, platinum",147.168,4,0.2,16.5564
43,CA-2016-101343,17-07-2016,22-07-2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Phoenix,Vermont,90049,,OFF-ST-10003479,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",77.88,2,0,3.894
44,CA-2017-139619,19-09-2017,23-09-2017,Standard Class,ES-14080,Erin Smith,Corporate,United States,Roseville,Maine,32935,,OFF-ST-10003282,Office Supplies,Storage,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",95.616,2,0.2,9.5616
45,CA-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Independence,South Dakota,55122,,TEC-AC-10000171,Technology,Accessories,Wilson Jones Leather-Like Binders with DublLock Round Rings,45.98,2,0,19.7714
46,CA-2016-118255,11-03-2016,13-03-2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Pasadena,Idaho,55122,,OFF-BI-10003291,Office Supplies,Binders,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",17.46,2,0,8.2062
47,CA-2014-146703,20-10-2014,25-10-2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Newark,North Dakota,48185,,OFF-ST-10001713,Office Supplies,Storage,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,211.96,4,0,8.4784
48,CA-2016-169194,20-06-2016,25-06-2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Franklin,Wyoming,19901,,TEC-AC-10002167,Technology,Accessories,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",45,3,0,4.95
49,CA-2016-169194,20-06-2016,25-06-2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Scottsdale,West Virginia,19901,,TEC-PH-10003988,Technology,Phones,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",21.8,2,0,6.104
50,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,San Jose,,47150,,OFF-BI-10004410,Office Supplies,Binders,Avery 485,38.22,6,0,17.9634
51,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,Edmond,,47150,,OFF-LA-10002762,Office Supplies,Labels,Longer-Life Soft White Bulbs,75.18,6,0,35.3346
52,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,Carlsbad,,47150,,FUR-FU-10001706,Furniture,Furnishings,"Global Leather Task Chair, Black",6.16,2,0,2.9568
53,CA-2015-115742,18-04-2015,22-04-2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,San Antonio,,47150,,FUR-CH-10003061,Furniture,Chairs,Advantus Push Pins,89.99,1,0,17.0981
54,CA-2016-105816,11-12-2016,17-12-2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Monroe,,10024,,OFF-FA-10000304,Office Supplies,Fasteners,AT&T CL83451 4-Handset Telephone,15.26,7,0,6.2566
55,CA-2016-105816,11-12-2016,17-12-2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,Fairfield,,10024,,TEC-PH-10002447,Technology,Phones,Home/Office Personal File Carts,1029.95,5,0,298.6855
56,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Grand Prairie,,12180,,OFF-ST-10000604,Office Supplies,Storage,Xerox 232,208.56,6,0,52.14
57,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Redlands,,12180,,OFF-PA-10001569,Office Supplies,Paper,Novimex Turbo Task Chair,32.4,5,0,15.552
58,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Hamilton,,12180,,FUR-CH-10003968,Furniture,Chairs,"Array Parchment Paper, Assorted Colors",319.41,5,0.1,7.098
59,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Westfield,,12180,,OFF-PA-10000587,Office Supplies,Paper,Plastic Binding Combs,14.56,2,0,6.9888
60,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Akron,,12180,,TEC-AC-10002167,Technology,Accessories,Prang Dustless Chalk Sticks,30,2,0,3.3
61,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Denver,,12180,,OFF-BI-10001460,Office Supplies,Binders,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",48.48,4,0.2,16.362
62,CA-2016-111682,17-06-2016,18-06-2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Dallas,,12180,,OFF-AR-10001868,Office Supplies,Art,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",1.68,1,0,0.84
63,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Whittier,,90004,,TEC-AC-10004633,Technology,Accessories,Xerox 1943,13.98,2,0,6.1512
64,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Saginaw,,90004,,OFF-BI-10001078,Office Supplies,Binders,Luxo Economy Swing Arm Lamp,25.824,6,0.2,9.3612
65,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Medina,,90004,,OFF-PA-10003892,Office Supplies,Paper,"Global Value Mid-Back Manager's Chair, Gray",146.73,3,0,68.9631
66,CA-2015-135545,24-11-2015,30-11-2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Dublin,,90004,,FUR-FU-10000397,Furniture,Furnishings,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",79.76,4,0,22.3328
67,US-2015-164175,30-04-2015,05-05-2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Detroit,,60610,,FUR-CH-10001146,Furniture,Chairs,netTALK DUO VoIP Telephone Service,213.115,5,0.3,-15.2225
68,CA-2014-106376,05-12-2014,12-10-2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Tampa,,85234,,OFF-AR-10002671,Office Supplies,Art,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",1113.024,8,0.2,111.3024
69,CA-2014-106376,05-12-2014,12-10-2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Santa Clara,,85234,,TEC-PH-10002726,Technology,Phones,Avery Binding System Hidden Tab Executive Style Index Sets,167.968,4,0.2,62.988
70,CA-2016-119823,04-06-2016,06-06-2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Lakeville,,22153,,OFF-PA-10000482,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",75.88,2,0,35.6636
71,CA-2016-106075,18-09-2016,23-09-2016,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,San Diego,,10009,,OFF-BI-10004654,Office Supplies,Binders,High-Back Leather Manager's Chair,4.616,1,0.2,1.731
72,CA-2017-114440,14-09-2017,17-09-2017,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Brentwood,,49201,,OFF-PA-10004675,Office Supplies,Paper,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",19.05,3,0,8.763
73,US-2015-134026,26-04-2015,05-02-2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Chapel Hill,,38109,,FUR-CH-10000513,Furniture,Chairs,Safco Industrial Wire Shelving System,831.936,8,0.2,-114.3912
74,US-2015-134026,26-04-2015,05-02-2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Morristown,,38109,,FUR-FU-10003708,Furniture,Furnishings,Economy Binders,97.04,2,0.2,1.213
75,US-2015-134026,26-04-2015,05-02-2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Cincinnati,,38109,,OFF-ST-10004123,Office Supplies,Storage,"6"" Cubicle Wall Clock, Black",72.784,1,0.2,-18.196
76,US-2017-118038,09-12-2017,12-11-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Inglewood,,77041,,OFF-BI-10004182,Office Supplies,Binders,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",1.248,3,0.8,-1.9344
77,US-2017-118038,09-12-2017,12-11-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Tamarac,,77041,,FUR-FU-10000260,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",9.708,3,0.6,-5.8248
78,US-2017-118038,09-12-2017,12-11-2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Colorado Springs,,77041,,OFF-ST-10000615,Office Supplies,Storage,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",27.24,3,0.2,2.724
79,US-2014-147606,26-11-2014,12-01-2014,Second Class,JE-15745,Joel Eaton,Consumer,United States,Belleville,,77070,,FUR-FU-10003194,Furniture,Furnishings,Avery Heavy-Duty EZD  Binder With Locking Rings,19.3,5,0.6,-14.475
80,CA-2016-127208,12-06-2016,15-06-2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Taylor,,35601,,OFF-AP-10002118,Office Supplies,Appliances,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",208.16,1,0,56.2032
81,CA-2016-127208,12-06-2016,15-06-2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Lakewood,,35601,,OFF-BI-10002309,Office Supplies,Binders,"Sortfiler Multipurpose Personal File Organizer, Black",16.74,3,0,8.0352
82,CA-2014-139451,12-10-2014,16-10-2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,Arlington,,94122,,OFF-AR-10002053,Office Supplies,Art,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,14.9,5,0,4.172
83,CA-2014-139451,12-10-2014,16-10-2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,Arvada,,94122,,OFF-ST-10002370,Office Supplies,Storage,Safco Industrial Wire Shelving,21.39,1,0,6.2031
84,CA-2015-149734,03-09-2015,09-08-2015,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Hackensack,,27707,,OFF-EN-10000927,Office Supplies,Envelopes,Novimex Swivel Fabric Task Chair,200.984,7,0.2,62.8075
85,US-2017-119662,13-11-2017,16-11-2017,First Class,CS-12400,Christopher Schild,Home Office,United States,Saint Petersburg,,60623,,OFF-ST-10003656,Office Supplies,Storage,Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,230.376,3,0.2,-48.9549
86,CA-2017-140088,28-05-2017,30-05-2017,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Long Beach,,29203,,FUR-CH-10000863,Furniture,Chairs,Avery 511,301.96,2,0,33.2156
87,CA-2017-155558,26-10-2017,11-02-2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Hesperia,,55901,,TEC-AC-10001998,Technology,Accessories,Eldon Portable Mobile Manager,19.99,1,0,6.7966
88,CA-2017-155558,26-10-2017,11-02-2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Murfreesboro,,55901,,OFF-LA-10000134,Office Supplies,Labels,Turquoise Lead Holder with Pocket Clip,6.16,2,0,2.9568
89,CA-2016-159695,05-04-2016,04-10-2016,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Layton,,77095,,OFF-ST-10003442,Office Supplies,Storage,Xerox 1995,158.368,7,0.2,13.8572
90,CA-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Austin,,90036,,OFF-AR-10004930,Office Supplies,Art,Xerox 1999,20.1,3,0,6.633
91,CA-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Lowell,,90036,,TEC-PH-10004093,Technology,Phones,"Seth Thomas 13 1/2"" Wall Clock",73.584,2,0.2,8.2782
92,CA-2016-109806,17-09-2016,22-09-2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Manchester,,90036,,OFF-PA-10000304,Office Supplies,Paper,Ibico Standard Transparent Covers,6.48,1,0,3.1104
93,CA-2015-149587,31-01-2015,02-05-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Harlingen,,55407,,OFF-PA-10003177,Office Supplies,Paper,Flexible Leather- Look Classic Collection Ring Binder,12.96,2,0,6.2208
94,CA-2015-149587,31-01-2015,02-05-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Tucson,,55407,,FUR-FU-10003799,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,53.34,3,0,16.5354
95,CA-2015-149587,31-01-2015,02-05-2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Quincy,,55407,,OFF-BI-10002852,Office Supplies,Binders,Trimflex Flexible Post Binders,32.96,2,0,16.1504
96,US-2017-109484,06-11-2017,11-12-2017,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Pembroke Pines,,97206,,OFF-BI-10004738,Office Supplies,Binders,Fellowes Basic Home/Office Series Surge Protectors,5.682,1,0.7,-3.788
97,CA-2017-161018,09-11-2017,11-11-2017,Second Class,PN-18775,Parhena Norris,Home Office,United States,Des Moines,,10009,,FUR-FU-10000629,Furniture,Furnishings,Avery Personal Creations Heavyweight Cards,96.53,7,0,40.5426
98,CA-2017-157833,17-06-2017,20-06-2017,First Class,KD-16345,Katherine Ducich,Consumer,United States,Peoria,,94122,,OFF-BI-10001721,Office Supplies,Binders,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,51.312,3,0.2,17.9592
99,CA-2016-149223,06-09-2016,09-11-2016,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Las Vegas,,55106,,OFF-AP-10000358,Office Supplies,Appliances,Avery Hidden Tab Dividers for Binding Systems,77.88,6,0,22.5852
100,CA-2016-158568,29-08-2016,09-02-2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Warwick,,60610,,OFF-PA-10003256,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),64.624,7,0.2,22.6184
101,CA-2016-158568,29-08-2016,09-02-2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Miami,,60610,,TEC-AC-10001767,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,95.976,3,0.2,-10.7973
102,CA-2016-158568,29-08-2016,09-02-2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Huntington Beach,,60610,,OFF-BI-10002609,Office Supplies,Binders,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",1.788,3,0.8,-3.0396
103,CA-2016-129903,01-12-2016,12-04-2016,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Richmond,,55901,,OFF-PA-10004040,Office Supplies,Paper,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",23.92,4,0,11.7208
104,US-2015-156867,13-11-2015,17-11-2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Louisville,,80013,,TEC-AC-10001552,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,238.896,6,0.2,-26.8758
105,US-2015-156867,13-11-2015,17-11-2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Lawrence,,80013,,FUR-FU-10004006,Furniture,Furnishings,Speck Products Candyshell Flip Case,102.36,3,0.2,-3.8385
106,US-2015-156867,13-11-2015,17-11-2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Canton,,80013,,OFF-BI-10002794,Office Supplies,Binders,Newell Chalk Holder,36.882,3,0.7,-25.8174
107,CA-2017-119004,23-11-2017,28-11-2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,New Rochelle,,28205,,TEC-AC-10003499,Technology,Accessories,Logitech�Gaming G510s - Keyboard,74.112,8,0.2,17.6016
108,CA-2017-119004,23-11-2017,28-11-2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,Gastonia,,28205,,TEC-PH-10002844,Technology,Phones,Magnifier Swing Arm Lamp,27.992,1,0.2,2.0994
109,CA-2017-119004,23-11-2017,28-11-2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,Jacksonville,,28205,,OFF-AR-10000390,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",3.304,1,0.2,1.0738
110,CA-2015-129476,15-10-2015,20-10-2015,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Auburn,,60462,,TEC-AC-10000844,Technology,Accessories,"Avery Durable Plastic 1"" Binders",339.96,5,0.2,67.992
111,CA-2017-146780,25-12-2017,30-12-2017,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,Norman,,10035,,FUR-FU-10001934,Furniture,Furnishings,"OIC Colored Binder Clips, Assorted Sizes",41.96,2,0,10.9096
